Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
"To within two, how many countries are in the European Union?",27 (25-.-29 will be accepted),Count On It,Count On It,,eu.jpg,,
"Not including their claws, how many legs do lobsters have?",Eight,Count On It,Count On It,,lobster.jpg,,
How many fluid ounces are in a gallon?,128,Count On It,Count On It,,gallon.png,,
How many points are there on the Statue of Liberty’s crown?,Seven,Count On It,Count On It,,statueofliberty.jpg,,
"To within two, how many feature films (not shorts) has Pixar released? (They released two feature films in 2020.)",23 (21-.-25 will be accepted),Count On It,Count On It,,pixar.jpg,,
"Including wisdom teeth, how many teeth are in a full set of adult human teeth?",32,Count On It,Count On It,,humanteeth.png,,
How many stars are on the Chinese flag?,Five,Count On It,Count On It,,chinaflag.png,,
How many MLB teams are there?,30,Count On It,Count On It,,mlbteams.png,,
How many people have walked on the moon?,12,Count On It,Count On It,,moonwalk.jpg,,
How many states were admitted to the US after 1900? (None were admitted in 1900.),"Five (Oklahoma in 1907, New Mexico in 1912, Arizona in 1912, Alaska in 1959, and Hawaii in 1959)",Count On It,Count On It,,usstates.png,,
"To within one, how many presidents, current or former, had previously served as vice president?","Fifteen (14-.-16 will be accepted) (JA, TJ, MvB, JT, MF, AJ, CAA, TR, CC, HST, RN, LBJ, GF, GHWB, JB)",Bonus,Count On It,,vps.jpg,,
"Which currency was established on January 1, 1999?",The Euro,Answer Like It’s 1999,Answer Like It’s 1999,,euro.jpg,,
Which word for a sensational headline designed to get online readers to follow a hyperlink was coined in 1999?,Clickbait,Answer Like It’s 1999,Answer Like It’s 1999,,clickbait.jpg,,
"On December 20, 1999, sovereignty of which former Portuguese colony was transferred to China?",Macau,Answer Like It’s 1999,Answer Like It’s 1999,,macau.jpg,,
"By worldwide gross, what was the highest grossing film of 1999?",\emph{Star Wars: Episode I} / \emph{The Phantom Menace},Answer Like It’s 1999,Answer Like It’s 1999,,menace.jpg,,
"Rapper Montero Lamar Hill, born on April 9, 1999, is better known by what stage name?",Lil Nas X,Answer Like It’s 1999,Answer Like It’s 1999,,lilnasx.jpg,,
"Which animated TV show that premiered in 1999 had episodes titled “Pizza Delivery”, “Boating School”, and “F.U.N.”?",\emph{SpongeBob Squarepants} / \emph{SpongeBob},Answer Like It’s 1999,Answer Like It’s 1999,,spongebob.jpg,,
Name any of the three countries that joined NATO in 1999.,"Poland, Hungary, and the Czech Republic (you only needed one)",Answer Like It’s 1999,Answer Like It’s 1999,,nato.jpg,,
"Which band released their third studio album \emph{Millennium} on May 18, 1999?",The Backstreet Boys,Answer Like It’s 1999,Answer Like It’s 1999,,backstreet.jpg,,
"On December 31, 1999, who resigned as president of Russia?",Boris Yeltsin,Answer Like It’s 1999,Answer Like It’s 1999,,yeltsin.jpg,,
