Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
"Because of a very crooked portion, this street in a western U.S. city is billed as “the crookedest street in the world.” What is its name?",Lombard Street in San Francisco,"Streets, Highways and Boulevards","Streets, Highways and Boulevards",,lombardst.jpg,,
What is the name of the major boulevard in Paris that has the same name (in French) as the final resting place of heroes in Greek mythology?,Les Champs-Élysées/Avenue des Champs-Élysées (Elysian Fields),"Streets, Highways and Boulevards","Streets, Highways and Boulevards",,champs.jpg,,
What is the name of the  famous route that starts in Chicago and ends on the Santa Monica Pier?,Route 66,"Streets, Highways and Boulevards","Streets, Highways and Boulevards",,route66.jpg,,
"This is definitely the ""big street"" in Madrid, Spain, as you can tell from its name (in Spanish). What street is it?",The Gran Vía,"Streets, Highways and Boulevards","Streets, Highways and Boulevards",,granvia.jpg,,
What is the name of the fictional thoroughfare that is the title of an AC/DC song?,Highway to Hell,"Streets, Highways and Boulevards","Streets, Highways and Boulevards",,highway.jpg,,
"What is the name of the main drag in St. Petersburg, Russia?",Nevsky Prospect,"Streets, Highways and Boulevards","Streets, Highways and Boulevards",,nevsky.jpg,,
"The ""Little Old Lady from Pasadena"" of the Beach Boys’s song was the ""terror"" of a particular thoroughfare.  What thoroughfare was it?",Colorado Boulevard,"Streets, Highways and Boulevards","Streets, Highways and Boulevards",,colboul.jpg,,
"What is the name of the street in Memphis, Tennessee, known for its association with blues and jazz?",Beale Street,"Streets, Highways and Boulevards","Streets, Highways and Boulevards",,beale.jpg,,
What is the name of Rome's most famous shopping street?,Via del Corso,"Streets, Highways and Boulevards","Streets, Highways and Boulevards",,corso.jpg,,
What is the name of the major north-south road in Toronto that is itself named after a type of road?,Avenue Road,"Streets, Highways and Boulevards","Streets, Highways and Boulevards",,avenueroad.jpg,,
"This street is described in a song as ""naughty, bawdy, gaudy, sporty."" What street is it?",42nd Street,Bonus,"Streets, Highways and Boulevards",,street42.jpeg,,
