Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,,
"In 1799, which country became the first country to adopt the metric system?",France,Units of Measure,Units of Measure,,metre.jpg,,,
How many US gallons are in a barrel of oil?,42,Units of Measure,Units of Measure,,barreloil.jpg,,,
A calorie (lowercased) is the amount of energy it takes to raise the temperature of what mass of water by \SI{1}{\celsius}?,1 gram,Units of Measure,Units of Measure,,specificheat.png,,,
"In chemistry, what is the name of the constant that is equal to the number of particles in a mole of a particular substance?",Avogadro’s constant / Avogadro’s number,Units of Measure,Units of Measure,,avogadro.jpg,,,
"In units of cubits, give any one of the length, width, or height of Noah’s Ark as described in the Bible in Genesis 6:15.","Three hundred cubits long, fifty cubits wide, and thirty cubits high (we only needed one)",Units of Measure,Units of Measure,,genesis615.jpg,,,
What is the name of the temperature scale on which zero degrees corresponds to absolute zero and whose degrees have a magnitude of \SI{1}{\celsius}?,Kelvin,Units of Measure,Units of Measure,,kelvin.jpg,,,
The meter was originally defined so that what feature of the Earth had a length of 10 million meters?,The distance between the equator and the poles (we’ll also accept “one-quarter of the circumference” although that isn’t precise due to the fact that the Earth is not a perfect sphere),Units of Measure,Units of Measure,,meterdef.jpg,,,
How many furlongs are in a mile? (The answer is a whole number.),Eight,Units of Measure,Units of Measure,,furlong.png,,,
How many feet are in a fathom? (The answer is a whole number.),Six ,Units of Measure,Units of Measure,,,,,
"As of 2019, all SI (International System of Units) base units are defined in terms of fundamental physical constants and the behavior of photons and atoms. Which unit of measure was the last SI base unit to be defined by  a physical object?","The kilogram (which, until 2019, was defined to be the mass of a particular lump of metal stored at the International Bureau of Weights and Measures; it’s now defined in terms of the meter, the second, and Planck’s constant)",Units of Measure,Units of Measure,,kilo.jpg,,,
