Question,Answer,Section,Topic,Question Image,Answer Image,Answer image is full height,
What kind of bird is pictured here?,Starling / common starling / European starling,Birds,Birds,starling.jpg,,,
Charles Darwin first noticed the adaptation of animals to different biological niches after observing the different beak shapes in what kind of bird?,Finches,Birds,Birds,,finches.jpg,,
Which extant species of bird has the longest wingspan?,The (wandering) albatross,Birds,Birds,,albatross.jpg,,
What is New Zealand's national bird?,The kiwi,Birds,Birds,,kiwi.jpg,,
"Which species of American bird went extinct in the wild in 1987 but, in a remarkable conservation success story, was bred in captivity and eventually released back into the wild?",California condor,Birds,Birds,,condor.jpg,,
What is the word for a baby swan?,A cygnet,Birds,Birds,,cygnet.jpg,,
"What was the name of the gray parrot that could count up to six, identify shapes and colors by name, say over 100 English words, and is the only non-human to have ever asked a question?","Alex (after seeing himself in a mirror, he asked what color he was)",Birds,Birds,,alex.jpg,,
A murder is a group of crows and a parliament is a group of owls. A “flamboyance” is a group of what kind of birds?,Flamingos,Birds,Birds,,flamingos.jpg,,
"What kind of birds, known for being difficult to hunt due to their camouflage and erratic flight, lent their name to a word synonymous with “marksman”?",Snipes (“sniping” originally meant snipe-hunting),Birds,Birds,,snipe.jpg,,
Where in a bird’s body is/are its wishbone[s] located?,Its chest (there’s only one),Birds,Birds,,wishbone.png,,
Which species of bird has (by far) the longest annual migration?,The Arctic tern (from the Arctic to the Antarctic),Bonus,Birds,,tern.png,,
"In the U.S., what is the minimum age at which you can be granted your private pilot’s license for powered aircraft?",17,Aviation,Aviation,,,,
"Due to the shortage of aluminum during WWII, the Hughes Aircraft Company built an almost entirely wooden aircraft prototype, the H-4 Hercules. What nickname was it better known by?",The \emph{Spruce Goose},Aviation,Aviation,,sprucegoose.jpg,,
"In the aviation world, what does ""FAA"" stand for?",Federal Aviation Administration,Aviation,Aviation,,faa.png,,
"Give the aviation names of the three dimensions that aircraft rotate in, as pictured here. (You only need the names; you don’t need to know which is which.)","Roll, pitch, and yaw",Aviation,Aviation,rollpitchyaw.png,,,
What was the name of the plane Charles Lindbergh flew on the first nonstop trans-Atlantic flight?,The \emph{Spirit of St. Louis},Aviation,Aviation,,lindbergh.jpg,,
"In what year did the Wright Brothers complete their famous first flight of a heavier-than-air, powered aircraft?",1903,Aviation,Aviation,,biplane.jpg,,
What is the name of the WWII-era fighter aircraft pictured here?,(Supermarine) Spitfire,Aviation,Aviation,spitfire.jpg,,,
"Whether measured by fleet size or number of passengers carried annually, which airline is the largest airline in the world?",American Airlines,Aviation,Aviation,,aa.png,,
Who was the first pilot to break the sound barrier?,Chuck Yeager,Aviation,Aviation,,chuckyeager.jpg,,
"This isn’t Boeing’s logo; it’s the logo of the company that merged with Boeing in 1997, whose logo Boeing modified slightly before adopting. Which (former) company’s logo is it?",McDonnell Douglas,Aviation,Aviation,mcdonnelldouglas.png,,,
What was the make and model of the plane that Chesley “Sully” Sullenberger crash landed in the Hudson after colliding with a flock of geese?,Airbus A320,Bonus,Aviation,,sullyquote.jpg,,
Name any one of the three tribes that together defeated the U.S. Army forces under Lt. Col. George Custer (known to native Americans as Long Hair or Yellow Hair) at the Battle of Little Bighorn (known to Native Americans as the Battle of the Greasy Grass) in 1876.,"Lakota Sioux, Northern Cheyenne and Arapaho",Native Americans,Native Americans,,bighorn.jpg,,
What famous Lakota Sioux Chief late in life became a cast member of Buffalo Bill's Wild West show?,Sitting Bull,Native Americans,Native Americans,,sittingbull.jpg,,
What is the name of the activist Native American who became the first national director of the American Indian Movement (AIM) in 1970 and who led AIM's takeover of Mount Rushmore in 1971?,Russel Means/Brave Eagle/Wanbli Ohitika,Native Americans,Native Americans,,russelmeans.jpg,,
What is the name of the Lakota Sioux medicine man who converted to Catholicism in later life and who is presently being considered for sainthood by the Vatican?,Black Elk/Nicholas Black Elk,Native Americans,Native Americans,,blackelk.jpg,,
"During the period from 1830 to 1850, Native Americans in the southeast were forcibly relocated from their ancestral lands to ""Indian territory"" west of the Mississippi pursuant to authority granted by the federal Indian Removal Act.  What is the name given to that forced relocation?",The Trail of Tears,Native Americans,Native Americans,,trailoftears.jpg,,
